GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	873	+	3	1,2,3,4,13,14,15
SE001	874	951	+	0	16
SE001	952	1023	+	2	5
SE001	1024	1137	+	4	6
SE001	1138	1197	+	7	7
SE001	1198	1252	+	5	8
SE001	1253	1336	+	0	9
SE001	1337	1446	+	2	10
SE001	1447	1470	+	4	11
SE001	1471	1553	+	7	12
SE002	1	823	+	3	1,2,3,4,5,6,7
SE002	824	912	-	0	12
SE002	913	984	-	2	11
SE002	985	1106	-	4	10
SE002	1107	1190	-	7	9
SE002	1191	1251	-	5	8
SE003	1	327	+	1	1,10,11,12
SE003	328	405	+	0	13
SE003	406	477	+	2	2
SE003	478	603	+	4	3
SE003	604	666	+	7	4
SE003	667	722	+	5	5
SE003	723	821	+	0	6
SE003	822	932	+	2	7
SE003	933	953	+	4	8
SE003	954	1046	+	7	9
SE004	1	824	+	3	1,2,3,4,5,6,7
SE004	825	873	+	0	8
SE004	874	960	+	2	9
SE004	961	1133	+	4	10
SE004	1134	1208	+	7	11
SE004	1209	1267	+	5	12
SE005	1	827	+	3	1,2,3,4,5,6,7
SE005	828	875	+	0	8
SE005	876	962	+	2	9
SE005	963	1138	+	4	10
SE005	1139	1222	+	7	11
SE005	1223	1281	+	5	12
