GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	60	+	3	1
SE001	61	117	+	11	2
SE001	118	271	+	8	3
SE001	272	352	+	1	4
SE001	353	415	+	10	5
SE001	416	1219	+	7	6,7,8,9,10,11,12
SE002	1	68	+	3	1
SE002	69	116	+	11	2
SE002	117	179	-	8	5
SE002	180	269	-	1	4
SE002	270	460	-	10	3
SE002	461	1268	+	7	6,7,8,9,10,11,12
SE003	1	57	-	3	2
SE003	58	118	-	11	1
SE003	119	306	+	8	3
SE003	307	381	+	1	4
SE003	382	435	+	10	5
SE003	436	1265	+	7	6,7,8,9,10,11,12
SE004	1	58	+	3	1
SE004	59	115	+	11	2
SE004	116	270	+	8	3
SE004	271	351	+	1	4
SE004	352	411	+	10	5
SE004	412	1206	+	7	6,7,8,9,10,11,12
SE005	1	63	+	3	1
SE005	64	120	+	11	2
SE005	121	186	-	8	5
SE005	187	276	-	1	4
SE005	277	469	-	10	3
SE005	470	1294	+	7	6,7,8,9,10,11,12
